District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Dadeldhura,Mahakali,Hill,Far-Western,National Training Program,"Health, Nutrition and Population",150.0
Dadeldhura,Mahakali,Hill,Far-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2094.0
Dadeldhura,Mahakali,Hill,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,2166.0
Dadeldhura,Mahakali,Hill,Far-Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2416.45
Dadeldhura,Mahakali,Hill,Far-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,547.0
Dadeldhura,Mahakali,Hill,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2905.0
Dadeldhura,Mahakali,Hill,Far-Western,District Soil Erosion Program,Forest and Land Conservation,10550.0
Dadeldhura,Mahakali,Hill,Far-Western,Agricultural Extension Program,Farm and Food Security,20500.0
Dadeldhura,Mahakali,Hill,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,1815.0
Dadeldhura,Mahakali,Hill,Far-Western,Soil Test Service Program,Farm and Food Security,1325.0
Dadeldhura,Mahakali,Hill,Far-Western,Crop Development Program,Farm and Food Security,875.0
Dadeldhura,Mahakali,Hill,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,19042.0
Dadeldhura,Mahakali,Hill,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4582.0
Dadeldhura,Mahakali,Hill,Far-Western,Horiculture Development Program,Farm and Food Security,400.0
Dadeldhura,Mahakali,Hill,Far-Western,Crop Protection and Pesticide Development,Farm and Food Security,1450.0
Dadeldhura,Mahakali,Hill,Far-Western,Livestock Service Extension Program,Farm and Food Security,16082.0
Dadeldhura,Mahakali,Hill,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1300.0
Dadeldhura,Mahakali,Hill,Far-Western,Community Livestock Development Project,Farm and Food Security,2165.0
Dadeldhura,Mahakali,Hill,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,666.0
Dadeldhura,Mahakali,Hill,Far-Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1787.0
Dadeldhura,Mahakali,Hill,Far-Western,Veterinary Health Service Program,Farm and Food Security,477.0
Dailekh,Bheri,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,23180.84
Dailekh,Bheri,Hill,Mid-Western,School Sector Reform Program,Education,241527.0
Dailekh,Bheri,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",73670.0
Dailekh,Bheri,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",2387.0
Dailekh,Bheri,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2635.0
Dailekh,Bheri,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4600.0
Dailekh,Bheri,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",150.0
Dailekh,Bheri,Hill,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2309.0
Dailekh,Bheri,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,2830.0
Dailekh,Bheri,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,7165.0
Dailekh,Bheri,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,379.0
Dailekh,Bheri,Hill,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,9702.0
Dailekh,Bheri,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,18600.0
Dailekh,Bheri,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,742.0
Dailekh,Bheri,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Dailekh,Bheri,Hill,Mid-Western,Fishery Development Program,Farm and Food Security,520.0
Dailekh,Bheri,Hill,Mid-Western,Crop Development Program,Farm and Food Security,1114.0
Dailekh,Bheri,Hill,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1370.0
Dailekh,Bheri,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,10080.0
Dailekh,Bheri,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,16344.0
Dailekh,Bheri,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Dailekh,Bheri,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2255.0
Dailekh,Bheri,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Dang,Rapti,Terai,Mid-Western,Non-formal Education & National Literacy Campaign,Education,15252.19
Dang,Rapti,Terai,Mid-Western,School Sector Reform Program,Education,272193.0
Dang,Rapti,Terai,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",130341.0
Dang,Rapti,Terai,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",2543.0
Dang,Rapti,Terai,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",5035.0
Dang,Rapti,Terai,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Dang,Rapti,Terai,Mid-Western,National Training Program,"Health, Nutrition and Population",150.0
Dang,Rapti,Terai,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,2876.0
Dang,Rapti,Terai,Mid-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,459.0
Dang,Rapti,Terai,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,19177.0
Dang,Rapti,Terai,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,205.0
Dang,Rapti,Terai,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,10790.0
Dang,Rapti,Terai,Mid-Western,Agricultural Extension Program,Farm and Food Security,19200.0
Dang,Rapti,Terai,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,2080.0
Dang,Rapti,Terai,Mid-Western,Fishery Development Program,Farm and Food Security,2753.0
Dang,Rapti,Terai,Mid-Western,Crop Development Program,Farm and Food Security,2575.0
Dang,Rapti,Terai,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4691.0
Dang,Rapti,Terai,Mid-Western,Livestock Service Extension Program,Farm and Food Security,19806.0
Dang,Rapti,Terai,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1200.0
Dang,Rapti,Terai,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,7024.0
Dang,Rapti,Terai,Mid-Western,Veterinary Health Service Program,Farm and Food Security,675.0
Darchaula,Mahakali,Mountain,Far-Western,Non-formal Education & National Literacy Campaign,Education,1649.54
Darchaula,Mahakali,Mountain,Far-Western,School Sector Reform Program,Education,153269.0
Darchaula,Mahakali,Mountain,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",97663.9
Darchaula,Mahakali,Mountain,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",1826.0
Darchaula,Mahakali,Mountain,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2670.0
Darchaula,Mahakali,Mountain,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Darchaula,Mahakali,Mountain,Far-Western,National Training Program,"Health, Nutrition and Population",130.0
Darchaula,Mahakali,Mountain,Far-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2114.0
Darchaula,Mahakali,Mountain,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,3032.0
Darchaula,Mahakali,Mountain,Far-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,402.0
Darchaula,Mahakali,Mountain,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1974.0
Darchaula,Mahakali,Mountain,Far-Western,District Soil Erosion Program,Forest and Land Conservation,9564.0
Darchaula,Mahakali,Mountain,Far-Western,Wildlife Conservation Project,Forest and Land Conservation,7435.0
Darchaula,Mahakali,Mountain,Far-Western,Agricultural Extension Program,Farm and Food Security,17900.0
Darchaula,Mahakali,Mountain,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,1307.0
Darchaula,Mahakali,Mountain,Far-Western,Crop Development Program,Farm and Food Security,905.0
Darchaula,Mahakali,Mountain,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2530.0
Darchaula,Mahakali,Mountain,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6736.0
Darchaula,Mahakali,Mountain,Far-Western,Livestock Service Extension Program,Farm and Food Security,18223.0
Darchaula,Mahakali,Mountain,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1500.0
Darchaula,Mahakali,Mountain,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,396.0
Darchaula,Mahakali,Mountain,Far-Western,Veterinary Health Service Program,Farm and Food Security,395.0
Dhading,Bagmati,Hill,Central,Non-formal Education & National Literacy Campaign,Education,27503.89
Dhading,Bagmati,Hill,Central,School Sector Reform Program,Education,270920.0
Dhading,Bagmati,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",85497.0
Dhading,Bagmati,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",3502.0
Dhading,Bagmati,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",3835.0
Dhading,Bagmati,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",5900.0
Dhading,Bagmati,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Dhading,Bagmati,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,300.0
Dhading,Bagmati,Hill,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,3075.0
Dhading,Bagmati,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3914.0
Dhading,Bagmati,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,11294.0
Dhading,Bagmati,Hill,Central,Agricultural Extension Program,Farm and Food Security,19000.0
Dhading,Bagmati,Hill,Central,Soil Test Service Program,Farm and Food Security,1325.0
Dhading,Bagmati,Hill,Central,Sericulture Development Program,Farm and Food Security,12777.0
Dhading,Bagmati,Hill,Central,Fishery Development Program,Farm and Food Security,1160.0
Dhading,Bagmati,Hill,Central,Crop Development Program,Farm and Food Security,1132.0
Dhading,Bagmati,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,7032.0
Dhading,Bagmati,Hill,Central,Horiculture Development Program,Farm and Food Security,4552.0
Dhading,Bagmati,Hill,Central,Crop Protection and Pesticide Development,Farm and Food Security,1250.0
Dhading,Bagmati,Hill,Central,Livestock Service Extension Program,Farm and Food Security,15435.0
Dhading,Bagmati,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,900.0
Dhading,Bagmati,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1802.0
Dhading,Bagmati,Hill,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1395.0
Dhading,Bagmati,Hill,Central,Veterinary Health Service Program,Farm and Food Security,373.0
Dhankuta,Kosi,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,8804.62
Dhankuta,Kosi,Hill,Eastern,School Sector Reform Program,Education,171019.0
Dhankuta,Kosi,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",88138.0
Dhankuta,Kosi,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1883.0
Dhankuta,Kosi,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",4135.0
Dhankuta,Kosi,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",4200.0
Dhankuta,Kosi,Hill,Eastern,National Training Program,"Health, Nutrition and Population",270.0
Dhankuta,Kosi,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,3130.0
Dhankuta,Kosi,Hill,Eastern,Multi Stakeholders Forestry Program,Forest and Land Conservation,17937.0
Dhankuta,Kosi,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,330.0
Dhankuta,Kosi,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,11880.0
Dhankuta,Kosi,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,18800.0
Dhankuta,Kosi,Hill,Eastern,Soil Test Service Program,Farm and Food Security,1325.0
Dhankuta,Kosi,Hill,Eastern,Sericulture Development Program,Farm and Food Security,4350.0
Dhankuta,Kosi,Hill,Eastern,Crop Development Program,Farm and Food Security,899.0
Dhankuta,Kosi,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3105.0
Dhankuta,Kosi,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,3862.0
Dhankuta,Kosi,Hill,Eastern,Horiculture Development Program,Farm and Food Security,457.0
Dhankuta,Kosi,Hill,Eastern,Crop Protection and Pesticide Development,Farm and Food Security,1250.0
Dhankuta,Kosi,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,14864.0
Dhankuta,Kosi,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,600.0
Dhankuta,Kosi,Hill,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1147.0
Dhankuta,Kosi,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,607.0
Dhanusa,Janakpur,Terai,Central,Non-formal Education & National Literacy Campaign,Education,15299.15
Dhanusa,Janakpur,Terai,Central,School Sector Reform Program,Education,293227.0
Dhanusa,Janakpur,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",153104.0
Dhanusa,Janakpur,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2454.0
Dhanusa,Janakpur,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",4765.0
